"loan_id","installment_id","installment_number","installment_duedate","repaid_date","capital_due","capital_paid","interests_paid"
"loan_8035682","8z78060i7i6xhx55017i725h5z4y5450","1","2022-03-31","2022-03-28",168.63,168.63,0
"loan_8035682","8z78060i7i6xhx55017i725h5z4y5453","4","2022-05-16","2022-05-11",168.63,168.63,0
"loan_8035682","8z78060i7i6xhx55017i725h5z4y5452","3","2022-05-02","2022-04-29",168.63,168.63,0
"loan_8035682","8z78060i7i6xhx55017i725h5z4y5454","5","2022-05-31","2022-05-24",168.63,168.63,0
"loan_8035682","8z78060i7i6xhx55017i725h5z4y5451","2","2022-04-18","2022-04-09",168.63,168.63,0
"loan_8035682","8z78060i7i6xhx55017i725h5z4x5455","6","2022-06-15","2022-06-12",167.17,167.17,0
"loan_0087672","8z7809g37ii9gigz017iigz9zgi0383x","1","2022-04-18","2022-04-05",365,365,0
"loan_0087672","8z7809g37ii9gigz017iigz9zgi0383i","2","2022-05-02","2022-06-10",353.32,353.32,58
"loan_0087672","8z7809g37ii9gigz017iigz9zgi03841","4","2022-05-31","2022-06-10",339.55949999999996,339.55949999999996,58
"loan_0087672","8z7809g37ii9gigz017iigz9zgi03840","3","2022-05-16","2022-06-10",353.32,353.32,58
"loan_9281012","8z780h3z7xx071g7017xx26gy8756z99","7","2022-05-31","2022-05-31",170.3747,170.3747,12.61
"loan_9281012","8z780h3z7xx071g7017xx26gy8756z97","5","2022-05-02","2022-05-02",162.9506,162.9506,22.78
"loan_9281012","8z780h3z7xx071g7017xx26gy8796z9z","8","2022-06-15","2022-06-15",182.3321,182.3321,6.52
"loan_9281012","8z780h3z7xx071g7017xx26gy8756z98","6","2022-05-16","2022-05-16",166.9218,166.9218,17.34
"loan_9281012","8z780h3z7xx071g7017xx26gy8536z93","1","2022-02-28","2022-02-28",139.5687,139.5687,54.81
"loan_9281012","8z780h3z7xx071g7017xx26gy8756z96","4","2022-04-18","2022-04-18",153.3949,153.3949,35.87
"loan_9281012","8z780h3z7xx071g7017xx26gy8536z94","2","2022-03-15","2022-03-15",149.8836,149.8836,40.68
"loan_9281012","8z780h3z7xx071g7017xx26gy8756z95","3","2022-03-31","2022-03-31",152.0736,152.0736,37.68
"loan_0792274","8z7805y27ii49z31017ii828iih57h42","2","2022-05-02","2022-04-28",143.81,143.81,0
"loan_0792274","8z7805y27ii49z31017ii828iih57h43","3","2022-05-16","2022-05-12",143.81,143.81,0
"loan_0792274","8z7805y27ii49z31017ii828iih57h44","4","2022-05-31","2022-05-25",142.35,142.35,0
"loan_0792274","8z7805y27ii49z31017ii828iih57h41","1","2022-04-18","2022-04-16",143.81,143.81,0
"loan_7787496","8z7820y17hzxh7gz017hg1ihx386739y","2","2022-01-17","2022-01-14",410.99,410.99,0
"loan_7787496","8z7820y17hzxh7gz017hg1ihx386739x","4","2022-02-15",NA,0,0,0
"loan_7787496","8z7820y17hzxh7gz017hg1ihx386739g","1","2021-12-31","2021-12-21",1168.73,1168.73,0
"loan_7787496","8z7820y17hzxh7gz017hg1ihx386739h","3","2022-01-31","2022-01-29",62.78,62.78,0
"loan_7513134","8z782zhi7x013yx7017x040923745139","1","2022-01-17","2022-01-16",327.03999999999996,327.03999999999996,0
"loan_4088148","8z780z437y8x4190017y90y13z9x57hy","7","2022-01-31","2022-02-03",296.38,296.38,58
"loan_4088148","8z780z437y8x4190017y90y13z9x57hz","5","2021-12-31","2022-01-01",300.76,300.76,0
"loan_4088148","8z780z437y8x4190017y90y13z8257h7","2","2021-11-16","2021-11-16",300.76,300.76,0
"loan_4088148","8z780z437y8x4190017y90y13z9x57hg","6","2022-01-17","2022-01-16",601.52,601.52,0
"loan_4088148","8z780z437y8x4190017y90y13z8257h9","4","2021-12-15","2021-12-15",300.76,300.76,0
"loan_4088148","8z780z437y8x4190017y90y13z8257h6","1","2021-11-01","2021-10-31",300.76,300.76,0
"loan_4088148","8z780z437y8x4190017y90y13z8257h8","3","2021-11-30","2021-12-01",300.76,300.76,0
"loan_4088148","8z780z437y8x4190017y90y13z9x57hh","8","2022-02-15",NA,0,0,0
"loan_9057034","8z7825117y7xy5z8017y7xigx0434z38","1","2021-11-01","2021-10-20",740.22,740.22,0
"loan_9057034","8z7825117y7xy5z8017y7xigx0434z3g","4","2021-12-15","2021-12-12",740.22,740.22,0
"loan_9057034","8z7825117y7xy5z8017y7xigx0434z3z","3","2021-11-30","2021-11-29",740.22,740.22,0
"loan_9057034","8z7825117y7xy5z8017y7xigx0434z3y","5","2021-12-31","2021-12-24",740.22,740.22,0
"loan_9057034","8z7825117y7xy5z8017y7xigx0474z3h","6","2022-01-17","2022-01-15",736.716,736.716,0
"loan_9057034","8z7825117y7xy5z8017y7xigx0434z39","2","2021-11-16","2021-11-14",740.22,740.22,0
"loan_4787282","8z7829577x916x73017x91ix69811y17","2","2022-02-28","2022-02-28",588.38,588.38,0
"loan_4787282","8z7829577x916x73017x91ix69811y18","3","2022-03-15","2022-03-14",588.38,588.38,0
"loan_4787282","8z7829577x916x73017x91ix69811y1z","5","2022-04-18","2022-04-17",588.38,588.38,0
"loan_4787282","8z7829577x916x73017x91ix69811y19","4","2022-03-31","2022-03-31",588.38,588.38,0
"loan_4787282","8z7829577x916x73017x91ix69811y16","1","2022-02-15","2022-02-14",588.38,588.38,0
"loan_4787282","8z7829577x916x73017x91ix69841y1g","6","2022-05-02","2022-05-03",584.7081000000001,584.7081000000001,0
"loan_2009178","8z782896805g8iy401806867z2542201","1","2022-05-16","2022-05-11",2190,2190,0
"loan_2009178","8z782896805g8iy401806867z2572206","6","2022-08-01",NA,0,0,0
"loan_2009178","8z782896805g8iy401806867z2542203","3","2022-06-15","2022-06-20",605.9,605.9,58
"loan_2009178","8z782896805g8iy401806867z2542205","5","2022-07-15",NA,0,0,0
"loan_2009178","8z782896805g8iy401806867z2542204","4","2022-06-30","2022-06-30",229.5266,229.5266,0
"loan_2009178","8z782896805g8iy401806867z2542202","2","2022-05-31","2022-06-01",605.9,605.9,0
"loan_0310700","8z78037g7xx45492017xx6gi36ii2z6i","3","2022-03-31","2022-03-24",865.78,865.78,0
"loan_0310700","8z78037g7xx45492017xx6gi36ii2z72","6","2022-05-16",NA,0,0,0
"loan_0310700","8z78037g7xx45492017xx6gi36ii2z71","5","2022-05-02",NA,0,0,0
"loan_0310700","8z78037g7xx45492017xx6gi36ii2z6x","2","2022-03-15","2022-03-10",432.89,432.89,0
"loan_0310700","8z78037g7xx45492017xx6gi36x22z6h","1","2022-02-28","2022-02-25",432.89,432.89,0
"loan_0310700","8z78037g7xx45492017xx6gi36ii2z70","4","2022-04-18","2022-04-07",861.9839999999999,861.9839999999999,0
"loan_6027298","8z7806y87ii49982017ii6i2h4056yg3","2","2022-05-02",NA,780.9977999999999,0,0
"loan_6027298","8z7806y87ii49982017ii6i2h3i36yg2","1","2022-04-18",NA,762.4266,0,0
"loan_6027298","8z7806y87ii49982017ii6i2h4076yg8","7","2022-07-15",NA,877.4089,0,0
"loan_6027298","8z7806y87ii49982017ii6i2h4056yg5","4","2022-05-31",NA,812.1396,0,0
"loan_6027298","8z7806y87ii49982017ii6i2h4056yg6","5","2022-06-15",NA,833.3388,0,0
"loan_6027298","8z7806y87ii49982017ii6i2h4056yg7","6","2022-06-30",NA,855.0854999999999,0,0
"loan_6027298","8z7806y87ii49982017ii6i2h4056yg4","3","2022-05-16",NA,800.0289,0,0
"loan_6027298","8z7806y87ii49982017ii6i2h4076yg9","8","2022-08-01",NA,858.7939,0,0
"loan_8964782","8z782h1h7i551x96017i5888i4z3359x","6","2022-05-31","2022-05-23",54.75,54.75,0
"loan_8964782","8z782h1h7i551x96017i5888i4z1359y","4","2022-05-02","2022-04-28",219,219,0
"loan_8964782","8z782h1h7i551x96017i5888i4z1359g","3","2022-04-18","2022-04-13",255.5,255.5,0
"loan_8964782","8z782h1h7i551x96017i5888i4z1359z","2","2022-03-31","2022-03-29",192.72,192.72,0
"loan_8964782","8z782h1h7i551x96017i5888i4z13599","1","2022-03-15","2022-03-29",188.34,188.34,58
"loan_8964782","8z782h1h7i551x96017i5888i4z1359h","5","2022-05-16","2022-05-13",219,219,0
"loan_1076268","8z7820287h1458h3017h16x0y9575871","4","2022-01-17","2022-01-14",127.6843,127.6843,15.09
"loan_1076268","8z7820287h1458h3017h16x0y9575872","5","2022-01-31","2022-01-31",130.7868,130.7868,10.84
"loan_1076268","8z7820287h1458h3017h16x0y9575870","3","2021-12-31","2021-12-29",125.11469999999998,125.11469999999998,18.61
"loan_1076268","8z7820287h1458h3017h16x0y957586i","2","2021-12-15","2021-12-14",121.9319,121.9319,22.97
"loan_1076268","8z7820287h1458h3017h16x0y943586x","1","2021-11-30","2021-11-29",116.25979999999998,116.25979999999998,30.74
"loan_1076268","8z7820287h1458h3017h16x0y9575873","6","2022-02-15","2022-02-14",136.94799999999998,136.94799999999998,4.57
"loan_6155894","8z78268y7x34gh2x017x37zx9g833i5z","2","2022-01-31","2022-02-02",438,438,58
"loan_6155894","8z78268y7x34gh2x017x37zx9g833i5y","4","2022-02-28","2022-02-28",435.81,435.81,0
"loan_6155894","8z78268y7x34gh2x017x37zx9g833i59","1","2022-01-17","2022-01-19",438,438,58
"loan_6155894","8z78268y7x34gh2x017x37zx9g833i5g","3","2022-02-15","2022-02-15",438,438,0
"loan_0009418","8z7804g67h145513017h180iii297xi2","7","2022-02-28",NA,0,0,0
"loan_0009418","8z7804g67h145513017h180iii0h7xxy","1","2021-11-30","2021-11-25",6204.2699999999995,6204.2699999999995,0
"loan_0009418","8z7804g67h145513017h180iii0h7xxh","2","2021-12-15",NA,0,0,0
"loan_0009418","8z7804g67h145513017h180iii0h7xxx","3","2021-12-31",NA,0,0,0
"loan_0009418","8z7804g67h145513017h180iii297xi1","6","2022-02-15",NA,0,0,0
"loan_0009418","8z7804g67h145513017h180iii297xi3","8","2022-03-15",NA,0,0,0
